ztfid,bts_z,ra,dec,bts_class,bts_peak_jd
ZTF18aazgrfl,0.434,191.00960332758618,56.02898637931035,SLSN-I,2458332.6779977
ZTF18abjwagv,0.3454,238.90838606912263,28.36056259719299,SLSN-I,2458346.6602894
ZTF18abrzcbp,0.3198,114.88651202796213,27.73405024786732,SLSN-I,2458361.0145255
ZTF18abszecm,0.4373,337.36349321333336,13.17775472666667,SLSN-I,2458436.6243056
ZTF18acqyvag,0.3505,143.37315960769232,0.052324292307692304,SLSN-I,2458469.0010995
ZTF18acslpji,0.0613,55.22397013352607,11.777054679190753,SLSN-I,-
ZTF19aajwogx,0.4103,180.71210757692307,-16.664945123076922,SLSN-I,2458560.8555324
ZTF19aalbrph,0.49,256.9951907425926,58.70106297592594,SLSN-I,2458557.8725926
ZTF19aamhast,0.3815,146.38616547499998,4.93393196875,SLSN-I,2458584.6708681
ZTF19aamhhiz,0.1977,213.76859104146354,50.65188091890244,SLSN-I,2458575.8578819
ZTF19aantokv,0.4040,219.45532844883718,20.304584286046516,SLSN-I,2458591.8738657
ZTF19aaohuwc,0.26,169.3924124227273,0.5007356545454544,SLSN-I,2458580.7522106
ZTF19aapaeye,0.32,222.90534976666652,48.987142242666685,SLSN-I,2458594.7871875
ZTF19aaqrime,0.3562,294.8441854083871,78.76213052129032,SLSN-I,2458644.7424884
ZTF19aaruixj,0.60,209.415743118,64.35518445000001,SLSN-I,2458619.7592477
ZTF19aasdvfr,0.3642,215.29991711388885,28.901633841666662,SLSN-I,2458636.7118519
ZTF19aauiref,0.67,211.44470905555556,33.46062446666666,SLSN-I,2458646.684213
ZTF19aauvzyh,0.1235,154.8263405,17.21180095263158,SLSN-I,2458648.6997801
ZTF19aawsqsc,0.26,294.80395575169484,62.72803761186442,SLSN-I,2458650.7959491
ZTF19aayclnm,0.386,313.9005816347826,-8.675375604347824,SLSN-I,2458685.8884375
ZTF19abaeyqw,0.399,212.08242055652173,8.966939139130435,SLSN-I,2458678.7583102
ZTF19abcvwrz,0.41,239.4511513740741,27.467628899999994,SLSN-I,2458705.6629051
ZTF19abdlzyq,0.42,232.34805892999998,38.10354532250001,SLSN-I,2458681.7131481
ZTF19abkfshj,0.500,43.09013679583333,-17.803493600000007,SLSN-I,2458744.0221065
ZTF19abnqqdp,0.6360,355.9006511157895,12.483556826315791,SLSN-I,2458730.878
ZTF19abrbsvm,0.1656,338.4753678315789,-2.1617743210526315,SLSN-I,2458737.8199653
ZTF19abuolvj,0.3468,337.489852375,-4.100671824999999,SLSN-I,2458748.7872569
ZTF19abuyuwa,0.5726,15.299001255102036,14.02649095102041,SLSN-I,2458771.742963
ZTF19abzoyeg,0.2138,318.78331910166656,32.71703169500001,SLSN-I,2458770.8174537
ZTF19abzqmau,0.3436,18.16425727708333,36.473558162500005,SLSN-I,2458768.6629514
ZTF19acsajxn,0.2206,126.21385882780748,22.179440836898394,SLSN-I,2458828.8375
ZTF19acucxij,0.3314,138.37553689285713,44.7739544,SLSN-I,-
ZTF19acvxquk,0.2590,43.787129772727276,11.456232609090911,SLSN-I,2458856.649213
ZTF19acujvsi,0.22,357.2272966527778,25.00000925833334,SLSN-I,2458859.6539352
ZTF20aagikvv,0.3996,191.25672478369106,33.55399625836911,SLSN-I,2458915.893
ZTF20aahrxgw,0.31,197.4352220583333,12.487151322222225,SLSN-I,2458884.9599421
ZTF20aapaecd,0.1765,221.5435113952381,23.80056622380953,SLSN-I,2458974.8890625
ZTF20aauoudz,0.3515,266.07204484558815,38.92519807647059,SLSN-I,2458976.9928009
ZTF20aavfbqz,0.3690,138.90269461086962,53.45888257826086,SLSN-I,2458974.6782755
ZTF20aavqrzc,0.456,166.52066412727274,26.29132852727273,SLSN-I,2459050.6661574
ZTF20aawfxlt,0.396,233.73044871290327,2.8532288935483874,SLSN-I,2459001.7583333
ZTF20aawkgxa,0.3754,155.07631688125,53.32261398333333,SLSN-I,2459053.6705787
ZTF20abisijg,0.3815,3.9425272702127656,47.00240700141844,SLSN-I,2459065.9776273
ZTF20abjwjrx,0.16,215.752542025,49.17796700937499,SLSN-I,2459081.682963
ZTF20ablkuio,0.1831,344.0438686555001,28.76478623499999,SLSN-I,2459085.8319792
ZTF20abzaacf,0.2410,339.4431057382608,23.52701611391306,SLSN-I,2459152.8615625
ZTF20aceqspy,0.455,4.940955000000001,5.138498896969696,SLSN-I,2459125.8800926
ZTF22aacdltm,0.1078,185.50476824999998,16.99558265,SLSN-I,-
ZTF21aagdezv,0.303,264.6168845852941,48.49638191764706,SLSN-I,2459272.9947917
ZTF20acwmyzx,0.345,111.617401064,12.451458865333338,SLSN-I,2459270.794375
ZTF20acvcpau,0.226,51.253327461016944,11.939503933898301,SLSN-I,2459272.7027315
ZTF20acjaayt,0.1659,2.5375710666666667,9.49326342222222,SLSN-I,2459200.6336806
ZTF20acitbmf,0.33,104.01890301428573,36.42379466428572,SLSN-I,2459139.9464468
ZTF20aceicyy,0.3904,33.759602184955746,-8.62878603716814,SLSN-I,2459197.708
ZTF19aalvdeu,0.202,200.55140186835422,49.91465810734176,SLSN-II,2458588.8644907
ZTF19aavakzo,0.171,332.5176822609757,23.47735075609756,SLSN-II,2458637.9349769
ZTF19acblhej,0.202,34.59145615,-25.906774404999993,SLSN-II,2458772.8345023
ZTF19ackiwff,0.403,112.49987772645743,13.095325844394607,SLSN-II,2458852.8953356
ZTF18aautopz,0.296,205.9722934181817,61.554732284199126,SLSN-II,2458367.6327083
ZTF18aazydub,0.201,255.068025400902,70.51411653827319,SLSN-II,2458331.824838
ZTF18abgrlpv,0.210,283.9374129589822,47.44125060598804,SLSN-II,2458351.6943056
ZTF18acbwdxy,0.213,122.17307051578949,38.88076858947369,SLSN-II,2458449.0234491
ZTF18accjvic,0.253,44.449077497142866,-3.1283736685714296,SLSN-II,2458456.7545255
ZTF19aailptb,0.287,210.40996154999993,14.415206294999999,SLSN-II,2458505.9988657
ZTF19aailsyx,0.221,236.17299706092717,51.14963139801325,SLSN-II,2458538.952
ZTF19aariuyd,0.230,185.10865499444446,17.32515764444444,SLSN-II,2458633.7016551
ZTF19aarixve,0.199,208.30377149107136,8.165089360714287,SLSN-II,2458649.8268287
ZTF19aaserwb,0.328,225.16282228428577,20.279268061428574,SLSN-II,2458652.732
ZTF19aaynqaj,0.272,344.45270740000007,42.94973918148147,SLSN-II,2458655.9097917
ZTF19aayvycv,0.216,36.68116581315791,37.416647650877216,SLSN-II,2458654.9632639
ZTF19abiagjr,0.329,303.86015986250004,-0.57499838125,SLSN-II,2458707.6876505
ZTF19abiubpd,0.368,246.2954373142856,42.79230386142855,SLSN-II,2458761.616
ZTF19ablzfzd,0.103,25.129933932258066,22.040154466129025,SLSN-II,-
ZTF19abucgpn,0.165,24.3289939740196,15.551926151470592,SLSN-II,2458781.9343634
ZTF19abyhhkb,0.273,350.52382888076903,10.646607048076927,SLSN-II,2458765.7994213
ZTF19abzvbra,0.160,344.0872089621361,45.21258143980581,SLSN-II,2458770.6507639
ZTF19acmezdo,0.215,353.8445072444444,-11.481580507407408,SLSN-II,2458860.6294676
ZTF19acxyugk,0.208,214.59688450116465,52.181634800166385,SLSN-II,2458855.9074884
ZTF19acyjqzd,0.308,187.35805467727272,76.22601264285719,SLSN-II,2458859.9299769
ZTF20aafduse,0.253,44.034441346875,1.299444446875,SLSN-II,2458913.6520602
ZTF20aampiit,0.147,112.24215862040809,30.73564641173472,SLSN-II,2458912.6739583
ZTF20aatrkif,0.196,204.83541660970877,38.08199649805824,SLSN-II,2459073.6569329
ZTF20aavbvjr,0.258,178.53606060444443,61.48272795333333,SLSN-II,2459019.7181481
ZTF20aavrulv,0.347,210.8051501775,12.666129244999997,SLSN-II,2459009.701
ZTF20aazppax,0.203,233.92840587629408,33.15049374277926,SLSN-II,2459005.7650579
ZTF20abbufrx,0.186,243.94512632916667,0.6665354875,SLSN-II,2459048.6897454
ZTF20ablgmou,0.271,227.86206902245445,62.59017881644911,SLSN-II,2459128.654
ZTF20acgywhr,0.172,322.51850217368434,-2.906681299999999,SLSN-II,2459150.6646296
ZTF21aamwsud,0.298,257.6045235272727,64.161582925,SLSN-II,2459297.9108102
